Level1,Level2,Level3,Content
BLUESTEPのヒント,左上の謎,ヒント１,書かれている文章をすべて読みましょう！<br>×の一番下にすごく大切な文章があるよ！<br>読み飛ばさないようにしましょう！
BLUESTEPのヒント,左上の謎,ヒント２,文章をよく見ると、「横向きの線を通過する」と書かれています！
BLUESTEPのヒント,左上の謎,答え,「１，２，３」それぞれ、真下にある文字に対応させましょう。<br>順に読んで、答えは「ぱーく」です。
BLUESTEPのヒント,右上の謎,ヒント１,左の状態から、右の状態になったとき、一体何が変わっているでしょうか？
BLUESTEPのヒント,右上の謎,ヒント２,三角形だけが、全て黒塗りされています。<br>このようにさせるような指示文を考えましょう！
BLUESTEPのヒント,右上の謎,答え,さんかくのな「かぬれ」とすることで、確かに三角の中を塗る指示となります。<br>答えは「かぬれ」です。
BLUESTEPのヒント,左下の謎,ヒント１,右側の人は、基本前に立って教える側の人間のことを指します。
BLUESTEPのヒント,左下の謎,ヒント２,左側の分け方はこうです。「？、？EA、ー」です。　<br>「？」に上手に１文字の英文字を当てはめることで、右側のイラストを説明できるようなものを考えましょう。
BLUESTEPのヒント,左下の謎,答え,「T」を当てはめることで。「T（ティー）、「TEA（チャ）」、「ー」、つなげて読むことで、「ティーチャー」と読むことができます。<br>これにより、答えは「T」です。
BLUESTEPのヒント,右下の謎,ヒント１,真ん中左側にあるイラストは「うがい」、右側の数字は「ないん」です。
BLUESTEPのヒント,右下の謎,ヒント２,真ん中左側のイラストは、とある文字を別の文字に表すことを表しています。<br>この謎は「さうんど」オンリーです。
BLUESTEPのヒント,右下の謎,答え,「さうんど」オンリー。から「さうんど」という４文字のみで考えます。<br>「う が い」により、「さいんど」。「ない ん」より、「ん」を取って、答えは「さいど」です。
BLUESTEPのヒント,解答欄,ヒント１,今までの４つの答えを、矢印の順で左から埋めましょう。
BLUESTEPのヒント,解答欄,答え,順番に、４つの答えを埋めると。「ぱーく、かぬれ、てぃー、さいど」と埋めて、矢印の順に読みます。<br>答えは「ぱれーど」です。
REDSTEPのヒント,左上の謎,ヒント１,「この色」と書かれている内の、上は「黄色」、下は「赤色」で書かれています。<br>色名から解き明かしましょう。
REDSTEPのヒント,左上の謎,ヒント２,例えば、一番上は「きいろ」から、何を抜き取れば、「紀伊（きい）」になるでしょうか？
REDSTEPのヒント,左上の謎,答え,「きいろ」から「足」を切り落とす、つまり、最後の文字をなくすことで、「きい」となっています。<br>「あかいろ」から「頭」を切り落とす、つまり、最後の文字をなくすことで、答えは「かいろ」です。
REDSTEPのヒント,右上の謎,ヒント１,共通して入る１文字は、見た目が１文字ですが、実際は「２文字」です。
REDSTEPのヒント,右上の謎,ヒント２,とある同じ文字をあてはめると、上から「動物」、「物質」、「場所」になります。
REDSTEPのヒント,右上の謎,答え,「エー」を当てはめることで、上から「ホエール」、「エーテル」、「エーゲ海」となり、単語が成立します。<br>答えは「エー」です。
REDSTEPのヒント,左下の謎,ヒント１,音と、高さが重要な要素です。
REDSTEPのヒント,左下の謎,ヒント２,特に声の事を言います。
REDSTEPのヒント,左下の謎,答え,上から「オプラノ、アルト、テノール、バス」が当てはまります。順番に読んで答ええは「デテール」です。
REDSTEPのヒント,右下の謎,ヒント１,"「C,Y,M」と登場する文字列は全てとある共通点を持っているものであり、英文字の数は、その英文字が表すものの文字数と同じです。"
REDSTEPのヒント,右下の謎,ヒント２,"「みどり」は色なので、「C,Y,M」も何かしらの色を表す頭文字なのではないでしょうか？"
REDSTEPのヒント,右下の謎,答え,「C」は「シアン」、「Y」は「イエロー」、「M」は「マゼンタ」であれば、文章が「シアンとイエローをマゼ　タらみどりになった」となり、文章が成立します。<br>よって、答えは下線部である「CCC」すなわち、「シアン」が答えです。
REDSTEPのヒント,解答欄,ヒント１,今までの４つの答えを、矢印の順で左から埋めましょう。
REDSTEPのヒント,解答欄,答え,順番に、４つの答えを埋めると。「かいろ、えー、でてーる、しあん」と埋めて、矢印の順に読みます。<br>答えは「かーてん」です。
最終問題のヒント,ヒント１,,まずは、外枠に注目しましょう。BLUESTEPとREDSTEPにあった、枠と似ています。<br>どのようにすれば、最終問題のような枠にすることができるでしょうか？
最終問題のヒント,ヒント２,,REDSTEPの解答欄にあるピンクとピンクで挟まれている各横列、BLUESTEPの解答欄にあるブルーとブルーで挟まれている各横列。答えが全て記入された状態で、それぞれ切り取ってみましょう。
最終問題のヒント,ヒント３,,切り取ったら、実際に互い違い（最終問題の枠）になるように紙を配置しましょう。何かが現れるはずです。
最終問題のヒント,ヒント４,,縦に読むと、それぞれ何かしらの文字を表しています。最後の答えは６文字です。
最終問題のヒント,ヒント５,,"左から、「いー,えぬ,でぃー,あい」となりますが、その横の隣にできているたった一つの青いバツ。これもとても重要な手がかりです。"
最終問題のヒント,ヒント６,,青いバツはどこかで見ていないでしょうか？
最終問題のヒント,答え,,"２種類の解答欄を一部切り取り、互い違いに配置することで最終問題が示す枠のようになります。<br>こうすることで、左から「いー,えぬ,でぃー,あい」と「青いバツ」が現れます。<br>「青いバツ」はBLUESTEPに登場しており、意味は「NG」でした。<br>つまり、全てをアルファベットとして解釈すると、「E,N,D,I」「N,G」となり、最後の答えは「ENDING（エンディング）」です。"
