Level1,Level2,Level3,Level4,Content
ステップ1のヒント,1問目,ヒント１,,上の表は五十音表のようです。矢印が通る文字を読んでみましょう。
ステップ1のヒント,1問目,答え,,なつかぜ（夏風邪）
ステップ1のヒント,2問目,ヒント1,,「てがた」の矢印を通ると「てつ」が「たつ」になるようです。 では、何を通ると「しんいき」が「たいき」になるでしょうか。
ステップ1のヒント,2問目,答え,,しんがた（新型）
ステップ1のヒント,3問目,ヒント1,,矢印に描かれた容器の個数に注目しましょう。 「つぶあん」に1個の容器を適用すると、1文字目である「つ」になるようです。 他の食べ物も同様に変換してみましょう。
ステップ1のヒント,3問目,答え,,したしみ（親しみ）
ステップ1のヒント,4問目,ヒント1,,この式は漢字を合成しているようです。 👑のイラストは「王」という漢字です。 「王」と「、」、「王」と「＾」を組み合わせたときの読みを埋めましょう。
ステップ1のヒント,4問目,答え,,まぜんた（マゼンタ）
ステップ1のヒント,5問目,ヒント1,,どうやらメダルの色が埋まるようです。 ノイズの下の矢印の位置を想像してみましょう。
ステップ1のヒント,5問目,答え,,どん（ドン）
ステップ1のヒント,まとめの謎,ヒント1,,ヒントはありません。 オラクルに従って答えを入力しましょう。
ステップ1のヒント,まとめの謎,答え,,しぜん（自然）
ステップ2のヒント,全体構造,,,各問題はノイズによって一部隠されてしまっています。 それにより、それぞれの問題に複数の答えがありうるようになっています。 その画像内にオラクルの告げる答えがあることを手がかりに、正しい答えを特定しましょう。<br>※以下のA～Eのヒントでは、複数個ある答えすべてに対して表示されます。 答えを一意に確定させるためのヒントは「その後のヒント」、まとめの謎のヒントは「まとめの謎ヒント」をご覧ください。
ステップ2のヒント,A,ヒント1,,ノイズの下には、「開いた目、閉じた目」のイラストまたは「翼」のイラストが描かれています。 それぞれのパターンにおいて①②が表す文字を読みましょう。
ステップ2のヒント,A,ヒント1,目の場合の答え,まい（舞い）
ステップ2のヒント,A,ヒント1,翼の場合の答え,はい（灰）
ステップ2のヒント,B,ヒント1,,右の人は荷物を持とうとしています。 それに対しての左の人の立場は、「ともに持ち上げようとしている」または「右の人に運ぶのを手伝ってもらっている」です。
ステップ2のヒント,B,ヒント1,ともに持ち上げようとしている場合の答え,はい（灰）
ステップ2のヒント,B,ヒント1,右の人に運ぶのを手伝ってもらっている場合の答え,くす（楠）
ステップ2のヒント,C,ヒント1,,ピースを埋める盤面の形状は2通り考えられます。 1つ目は中央列の下にマスがあるテンキーの配列、2つ目は右列の下にマスがあるQの字の配列です。 それぞれのパターンにピースをはめ、12の位置を読みましょう。
ステップ2のヒント,C,ヒント1,テンキーの場合の答え,うた（歌）
ステップ2のヒント,C,ヒント1,Qの字の場合の答え,まい（舞い）
ステップ2のヒント,D,ヒント1,,これには反対の意味の漢字が埋まるようです。 右に見えている漢字の一部と左の「おお」から、左に書かれている漢字は「多（おおい）」または「大（おおきい）」だと推測できます。
ステップ2のヒント,D,ヒント1,「多」の場合の答え,くす（楠）
ステップ2のヒント,D,ヒント1,「大」の場合の答え,いち（一）
ステップ2のヒント,E,ヒント1,,法則謎のようです。「あき」が「いか」になる法則として考えられるのは、<br>①五十音順で1文字目を1つ進め、2文字目を1つ戻す法則<br>②1文字目と2文字目の母音を入れ替える法則<br>のいずれかです。これらを「一」に適用してみましょう。
ステップ2のヒント,E,ヒント1,①の場合の答え,うた（歌）
ステップ2のヒント,E,ヒント1,②の場合の答え,いち（一）
ステップ2のヒント,その後のヒント,ヒント1,,ここまで、5つの謎の答えの候補は次のように確定します。<br>A: まい、はい<br>B: はい、くす<br>C: うた、まい<br>D: くす、いち<br>E: うた、いち<br>オラクルが示す条件は、「ABCの中に答えが『舞い』の謎がある」こと、「DE、まとめの謎の中に答えが『歌』の謎がある」ことです。A～Eの答えは互いに異なることを用いて一意に確定させましょう。
ステップ2のヒント,その後のヒント,A～Eの答え,,A: はい<br>B: くす<br>C: まい<br>D: いち<br>E: うた
ステップ2のヒント,まとめの謎,ヒント1,,謎画像が縦に分割されています。まずは一番左の画像に注目してみましょう。この画像はAの謎の右半分だけのようです。Aの答えは何だったでしょうか。
ステップ2のヒント,まとめの謎,ヒント2,,Aの画像の答えは「はい」でした。この「はい」を半分にした右側が「石」の1文字目に対応します。
ステップ2のヒント,まとめの謎,ヒント3,,まとめの謎の法則は、謎を答えの文字数で分割し、左から何番目の分割かによって答えの文字を拾うというものです。 他の画像についてもこの法則を考えてみましょう。一番右の画像はステップ1にあります。
ステップ2のヒント,まとめの謎,答え,,はいつ（ハイツ）
ステップ3のヒント,1問目,ヒント1,,オラクルが答えを告げている範囲は黄色い線の左側です。この範囲のみで謎を解くと答えが「ケーキ」になることから、矢印の左が表すものは<br>　（不明）<br>　ジ〇ー<br>　キ〇ー<br>　ケ〇<br>であると分かります。これらが表す言葉を考えてみましょう。ヒントはアルファベットです。
ステップ3のヒント,1問目,ヒント2,,矢印の左側にあるものはアルファベットの（不明）、J、Q、Kです。 このような4つのアルファベットが用いられるものはなんでしょうか。 矢印の左側の枠も手がかりです。
ステップ3のヒント,1問目,ヒント3,,"これが表すのは、トランプのA,J,Q,Kです。それぞれの読み方を矢印の右に埋めて、矢印が通る文字を答えましょう。"
ステップ3のヒント,1問目,答え,,きっく（キック）
ステップ3のヒント,2問目,ヒント1,,オラクルが答えを告げている範囲は黄色い線の右側です。 この範囲のみで謎を解くと答えが「すみ」になるように、黄色い線の右側の4つのパーツを想像しましょう。 「灬」が含まれる点がポイントです。
ステップ3のヒント,2問目,ヒント2,,オラクルが告げる「すみ」は「墨」です。パーツに分解すると、灬、土、土、田になります。これにクを加えて1つの漢字を作りましょう。
ステップ3のヒント,2問目,答え,,さけ（鮭）
ステップ3のヒント,3問目,ヒント1,,オラクルが答えを告げている範囲は黄色い線の左側です。 このとき、入口と出口で単語になる組み合わせは「スラム」「ホシン」「ヨウカ」になります。 また、通った文字は順に、ア、カミ、カキアです。これが「黄身」になる法則を考えましょう。
ステップ3のヒント,3問目,ヒント2,,文字を拾う法則は、「ちょうど1回だけ通る文字」を左から読む法則です。これを元の迷路に適用しましょう。 元の迷路の単語になる組み合わせは「スラング」「ホシカゲ」「ヨウムキ」です。
ステップ3のヒント,3問目,答え,,あい（愛）
ステップ3のヒント,まとめの謎,ヒント1,,オラクルが答えを告げている範囲は、画像外側の黄色い線と、中央の黄色い線の間に挟まれたエリアです。 オラクルは答えに特定の操作を行うことで「ケース」という新たな答えを得ているようです。 まずは今までの答え「けーき」「すみ」「きみ」から「けーす」を導く法則を考えましょう。
ステップ3のヒント,まとめの謎,ヒント2,,オラクルが行っている操作はババ抜きです。今までの答えでババ抜きを行い、残った文字をまとめの謎の答えとしているようです。 ところが、本来の答え「きっく」「さけ」「すみ」をババ抜きしても答えになりません。 何をババ抜きすればよいのか、ノイズの下にある「切……文字を」の箇所から推測しましょう。
ステップ3のヒント,まとめの謎,ヒント3,,答えを変化させたときに、「切り取られた方に書かれた文字を」ババ抜きしましょう。
ステップ3のヒント,まとめの謎,答え,,すんげき（寸劇）
ステップ4のヒント,全体,ヒント1,,ノイズが被さっていて、下に書かれた謎を推測することはできなさそうです。 このままではステップ4を解くことができません。 しかし、あなたは1つだけ答えを知ることができます。
ステップ4のヒント,全体,答え,,試しにオラクルが告げる「理論」と入力してみましょう。これがステップ4の答えです。
ステップ5のヒント,全体構造,ヒント1,,送られた画像には何かが足りません。まずはルールを見直して、不足しているものを推測しましょう。
ステップ5のヒント,全体構造,ヒント2,,この画像には、四隅にあるかぎかっこに似た形の記号のうち、右上と右下のものがありません。 では、どのような状況が想定できるでしょうか。手がかりは1番最初に送られた画像にあります。
ステップ5のヒント,全体構造,ヒント3,,1番最初に送られた画像では、2つの答えがある問題に対して、次に送信されるべき画像が半分ずつ送信されていました。 では、これを今の状況に照らし合わせて矛盾のないようにするにはどうすればよいでしょうか。
ステップ5のヒント,全体構造,答え,,ステップ4には<b>答えが2つあります</b>。これにより、ステップ5の謎画像が2つに分割されて送信されてしまっています。<br>また、それによりステップ2のまとめの謎の法則「答えの文字数で分割された謎は、その答えの文字数目を表す」が適用されてしまい、オラクルは本来2文字であるステップ5の答えの前半1文字だけを告げていることになります。<br>あなたがすべきことは、すでに分かっているステップ4の答えからステップ4のもう1つの答えを推測し、ステップ5の謎画像の残り半分を手に入れることです。
ステップ5のヒント,その先のヒント,,,ステップ4の1つ目の答え「理論」から、ステップ4の問題を復元するためのヒントです。<br>すでにステップ4の問題を復元できていて、ステップ4のもう1つの答えを求めたい方は、「さらにその先のヒント」をご覧ください。
